state,capital,zone,kind,population_2025
Abia,Umuahia,South East,state,3924170
Adamawa,Yola,North East,state,6006483
Akwa Ibom,Uyo,South South,state,4281016
Anambra,Awka,South East,state,5788664
Bauchi,Bauchi,North East,state,8781379
Bayelsa,Yenagoa,South South,state,2523454
Benue,Makurdi,North Central,state,9067208
Borno,Maiduguri,North East,state,6269580
Cross River,Calabar,South South,state,2566393
Delta,Asaba,South South,state,7712871
Ebonyi,Abakaliki,South East,state,2567910
Edo,Benin City,South South,state,6633887
Ekiti,Ado Ekiti,South West,state,3060452
Enugu,Enugu,South East,state,5104971
Gombe,Gombe,North East,state,4477432
Imo,Owerri,South East,state,6592130
Jigawa,Dutse,North West,state,7645450
Kaduna,Kaduna,North West,state,11233188
Kano,Kano,North West,state,18771136
Katsina,Katsina,North West,state,10522942
Kebbi,Birnin Kebbi,North West,state,4015575
Kogi,Lokoja,North Central,state,4479440
Kwara,Ilorin,North Central,state,4687187
Lagos,Ikeja,South West,state,12582855
Nasarawa,Lafia,North Central,state,3598557
Niger,Minna,North Central,state,7303219
Ogun,Abeokuta,South West,state,12934343
Ondo,Akure,South West,state,5658395
Osun,Osogbo,South West,state,5595661
Oyo,Ibadan,South West,state,8988218
Plateau,Jos,North Central,state,5771081
Rivers,Port Harcourt,South South,state,6863908
Sokoto,Sokoto,North West,state,4373777
Taraba,Jalingo,North East,state,4473845
Yobe,Damaturu,North East,state,5370898
Zamfara,Gusau,North West,state,3564210
Federal Capital Territory,Abuja,North Central,fct,3735905
